id_alimento,nome_piatto,prezzo,descrizione,lista_allergeni,immagine,id_categoria
1,Carciofo alla Giudia,8.00,"Carciofo romanesco fritto intero, croccante fuori e morbido dentro.","Nessuno",,1
2,Filetto di Baccalà,6.50,"Filetto di baccalà fritto in pastella croccante.","Glutine, Pesce",,1
3,Supplì al Telefono,2.50,"Crocchetta di riso al ragù con cuore filante di mozzarella.","Glutine, Lattosio, Sedano, Uova",,1
4,Fiori di Zucca Fritti,6.00,"Fiori di zucca in pastella ripieni di mozzarella e alici.","Glutine, Lattosio, Pesce",,1
5,Bruschetta al Pomodoro,4.00,"Pane casareccio tostato con pomodorini freschi, aglio, olio EVO e basilico.","Glutine",,1
6,Coratella con Carciofi,10.00,"Misto di interiora di agnello in padella con carciofi romaneschi.","Nessuno",,1
7,Tagliere Romano,14.00,"Selezione di salumi locali, porchetta e pecorino romano con miele.","Lattosio",,1
8,Spaghetti alla Carbonara,12.00,"Spaghetti con guanciale croccante, uova fresche, pecorino romano e pepe.","Glutine, Uova, Lattosio",,2
9,Bucatini all'Amatriciana,11.50,"Bucatini con sugo di pomodoro, guanciale e pecorino romano.","Glutine, Lattosio",,2
10,Tonnarelli Cacio e Pepe,11.00,"Tonnarelli mantecati con abbondante pecorino romano DOP e pepe nero.","Glutine, Lattosio",,2
11,Rigatoni alla Gricia,11.00,"Rigatoni con guanciale, pecorino romano e pepe.","Glutine, Lattosio",,2
12,Penne all'Arrabbiata,9.50,"Penne con salsa di pomodoro piccante, aglio e prezzemolo.","Glutine",,2
13,Gnocchi alla Romana,10.00,"Dischi di semolino cotti al forno con burro e pecorino.","Glutine, Lattosio, Uova",,2
14,Rigatoni con la Pajata,13.50,"Rigatoni con sugo di pomodoro e intestino di vitellino da latte.","Glutine, Lattosio",,2
15,Minestra di Broccoli e Arzilla,12.50,"Zuppa tradizionale con brodo di razza, broccoli romaneschi e pasta mista.","Glutine, Pesce",,2
16,Pasta e Ceci,9.00,"Minestra di pasta e ceci insaporita con rosmarino e aglio.","Glutine",,2
17,Coda alla Vaccinara,16.00,"Coda di bue stufata a lungo con pomodoro, sedano, pinoli e uvetta.","Sedano",,3
18,Abbacchio a Scottadito,18.00,"Costolette di agnello alla griglia, da mangiare rigorosamente con le mani.","Nessuno",,3
19,Saltimbocca alla Romana,15.50,"Fettine di vitello con prosciutto crudo e salvia, sfumate al vino bianco.","Glutine",,3
20,Trippa alla Romana,13.00,"Trippa cotta lentamente nel sugo di pomodoro, pecorino e menta romana.","Lattosio, Sedano",,3
21,Pollo coi Peperoni,14.00,"Pezzi di pollo ruspante cotti in padella con peperoni, aglio e pomodoro.","Nessuno",,3
22,Involtini alla Romana,14.50,"Involtini di manzo ripieni di carota, sedano e pancetta cotti nel sugo.","Sedano",,3
23,Porchetta di Ariccia,12.00,"Fette di suino intero aromatizzato con aglio, pepe e rosmarino, cotto al forno.","Nessuno",,3
24,Fagioli con le Cotiche,10.00,"Fagioli cannellini stufati nel pomodoro con cotica di maiale.","Sedano",,3
25,Puntarelle alla Romana,7.00,"Insalata di germogli di cicoria con condimento di aglio, acciughe e aceto.","Pesce",,4
26,Cicoria Ripassata,6.00,"Cicoria bollita e ripassata in padella con aglio, olio e peperoncino.","Nessuno",,4
27,Carciofo alla Romana,7.50,"Carciofo stufato in tegame con aglio, mentuccia e olio EVO.","Nessuno",,4
28,Patate al Forno,5.50,"Patate a cubetti arrosto con rosmarino e aglio.","Nessuno",,4
29,Broccoletti Ripassati,6.00,"Broccoletti cotti in padella con aglio, olio e peperoncino.","Nessuno",,4
30,Insalata Mista,5.00,"Lattuga, pomodori, carote e radicchio.","Nessuno",,4
31,Crostata Ricotta e Visciole,6.50,"Frolla ripiena di ricotta dolce e confettura di visciole.","Glutine, Uova, Lattosio",,5
32,Tiramisù,6.00,"Il classico dessert con savoiardi, caffè, mascarpone e cacao.","Glutine, Uova, Lattosio",,5
33,Ciambelline al Vino,5.00,"Biscotti secchi della tradizione impastati con vino e anice, da inzuppare.","Glutine, Solfiti",,5
34,Zuppa Inglese,6.50,"Pan di spagna bagnato all'Alchermes con crema pasticcera e al cioccolato.","Glutine, Uova, Lattosio",,5
35,Panna Cotta,5.50,"Panna cotta artigianale servita con caramello, frutti di bosco o cioccolato.","Lattosio",,5
36,Gelato Artigianale,5.00,"Due gusti a scelta tra le nostre proposte di giornata.","Lattosio, Uova",,5
37,Acqua Naturale (1L),2.50,"Acqua minerale in bottiglia di vetro.","Nessuno",,6
38,Acqua Frizzante (1L),2.50,"Acqua minerale addizionata con gas in bottiglia di vetro.","Nessuno",,6
39,Vino Bianco Castelli Romani (1L),10.00,"Vino della casa bianco, fresco e secco.","Solfiti",,6
40,Vino Rosso Castelli Romani (1L),10.00,"Vino della casa rosso, corposo e fruttato.","Solfiti",,6
41,Birra Artigianale Romana (50cl),6.50,"Birra chiara o ambrata di microbirrificio locale.","Glutine",,6
42,Coca-Cola (33cl),3.50,"Bibita gassata classica in bottiglia di vetro.","Nessuno",,6
43,Caffè Espresso,1.50,"Caffè espresso da miscela arabica e robusta.","Nessuno",,6
44,Limoncello Artigianale,3.50,"Liquore al limone servito ghiacciato.","Nessuno",,6
45,Amaro Romano,4.00,"Amaro locale alle erbe per un perfetto fine pasto.","Nessuno",,6
